Model,Total,no_evidence,weak_evidence,strong_evidence,strong_pct
DeepSeek-R1,751,45,168,537,71.5046604527297
Gemini-2.5-Pro,751,35,183,533,70.97203728362184
GPT-o3,751,36,338,376,50.06657789613848
Gemini-2.5-Flash,751,261,228,262,34.88681757656458
Llama-3.1-8B,751,252,425,74,9.85352862849534
Llama-3.1-70B,751,238,457,56,7.456724367509986
DeepSeek-V3,751,709,37,5,0.6657789613848203
Claude-Sonnet-4,751,483,266,2,0.2663115845539281
Claude-Sonnet-3.7,751,692,58,1,0.13315579227696406
Claude Haiku 3,751,731,20,0,0.0
GPT-4o,751,706,45,0,0.0
