id,varname,description
var1,StartDate,"{Default qualtrics variable} Timestamp for first click on the survey"
var2,EndDate,"{Default qualtrics variable} Timestamp for last click on the survey (submission or otherwise)"
var3,Status,"{Default qualtrics variable} (0 'IP Address' (most cases); 1 Preview; 2 test;4 Imported; imported; 8 possible spam; 9 possible preview spam; 12 possible imported Spam; 16 offline app)"
var4,Progress,"{Default qualtrics variable} What percentage of the survey was completed?"
var5,Duration..in.seconds.,"Time spent on survey in seconds"
var6,Finished,"{Default qualtrics variable} TRUE 1/ FALSE 0"
var7,RecordedDate,"{Default qualtrics variable} Will differ from enddate for respondents taking survey offline and submitting later"
var8,ResponseId,"{Default qualtrics variable} Qualtrics identifier of each response"
var9,DistributionChannel,"{Default qualtrics variable} How survey was given to participants"
var10,UserLanguage,"{Default qualtrics variable} If survey has multiple language, this indicates which was used"
var11,CONSENT,"Consent form completed"
var12,FILTER2,"Screening question 1"
var13,FILTER3,"Screening question 2"
var14,X1_Q195,"Age guess"
var15,X1_Q196_1,Confidence
var16,X2_Q195,"Age guess"
var17,X2_Q196_1,Confidence
var18,X3_Q195,"Age guess"
var19,X3_Q196_1,Confidence
var20,X4_Q195,"Age guess"
var21,X4_Q196_1,Confidence
var22,X5_Q195,
var23,X5_Q196_1,
var24,X6_Q195,
var25,X6_Q196_1,
var26,X7_Q195,
var27,X7_Q196_1,
var28,X8_Q195,
var29,X8_Q196_1,
var30,X9_Q195,
var31,X9_Q196_1,
var32,X10_Q195,
var33,X10_Q196_1,
var34,X11_Q195,
var35,X11_Q196_1,
var36,X12_Q195,
var37,X12_Q196_1,
var38,X13_Q195,
var39,X13_Q196_1,
var40,X14_Q195,
var41,X14_Q196_1,
var42,X15_Q195,
var43,X15_Q196_1,
var44,X16_Q195,
var45,X16_Q196_1,
var46,X17_Q195,
var47,X17_Q196_1,
var48,X18_Q195,
var49,X18_Q196_1,
var50,X19_Q195,
var51,X19_Q196_1,
var52,X20_Q195,
var53,X20_Q196_1,
var54,X21_Q195,
var55,X21_Q196_1,
var56,X22_Q195,
var57,X22_Q196_1,
var58,X23_Q195,
var59,X23_Q196_1,
var60,X24_Q195,
var61,X24_Q196_1,
var62,X25_Q195,
var63,X25_Q196_1,
var64,X26_Q195,
var65,X26_Q196_1,
var66,X27_Q195,
var67,X27_Q196_1,
var68,X28_Q195,
var69,X28_Q196_1,
var70,X29_Q195,
var71,X29_Q196_1,
var72,X30_Q195,
var73,X30_Q196_1,
var74,X31_Q195,
var75,X31_Q196_1,
var76,X32_Q195,
var77,X32_Q196_1,
var78,X33_Q195,
var79,X33_Q196_1,
var80,X34_Q195,
var81,X34_Q196_1,
var82,X35_Q195,
var83,X35_Q196_1,
var84,X36_Q195,
var85,X36_Q196_1,
var86,X37_Q195,
var87,X37_Q196_1,
var88,X38_Q195,
var89,X38_Q196_1,
var90,X39_Q195,
var91,X39_Q196_1,
var92,X40_Q195,
var93,X40_Q196_1,
var94,X41_Q195,
var95,X41_Q196_1,
var96,X42_Q195,
var97,X42_Q196_1,
var98,X43_Q195,
var99,X43_Q196_1,
var100,X44_Q195,
var101,X44_Q196_1,
var102,X45_Q195,
var103,X45_Q196_1,
var104,X46_Q195,
var105,X46_Q196_1,
var106,X47_Q195,
var107,X47_Q196_1,
var108,X48_Q195,
var109,X48_Q196_1,
var110,X49_Q195,
var111,X49_Q196_1,
var112,X50_Q195,
var113,X50_Q196_1,
var114,X51_Q195,
var115,X51_Q196_1,
var116,X52_Q195,
var117,X52_Q196_1,
var118,X53_Q195,
var119,X53_Q196_1,
var120,X54_Q195,
var121,X54_Q196_1,
var122,X55_Q195,
var123,X55_Q196_1,
var124,X56_Q195,
var125,X56_Q196_1,
var126,X57_Q195,
var127,X57_Q196_1,
var128,X58_Q195,
var129,X58_Q196_1,
var130,X59_Q195,
var131,X59_Q196_1,
var132,X60_Q195,
var133,X60_Q196_1,
var134,X61_Q195,
var135,X61_Q196_1,
var136,X62_Q195,
var137,X62_Q196_1,
var138,X63_Q195,
var139,X63_Q196_1,
var140,X64_Q195,
var141,X64_Q196_1,
var142,X65_Q195,
var143,X65_Q196_1,
var144,X66_Q195,
var145,X66_Q196_1,
var146,X67_Q195,
var147,X67_Q196_1,
var148,X68_Q195,
var149,X68_Q196_1,
var150,X69_Q195,
var151,X69_Q196_1,
var152,X70_Q195,
var153,X70_Q196_1,
var154,X71_Q195,
var155,X71_Q196_1,
var156,X72_Q195,
var157,X72_Q196_1,
var158,X73_Q195,
var159,X73_Q196_1,
var160,X74_Q195,
var161,X74_Q196_1,
var162,X75_Q195,
var163,X75_Q196_1,
var164,X76_Q195,
var165,X76_Q196_1,
var166,X77_Q195,
var167,X77_Q196_1,
var168,X78_Q195,
var169,X78_Q196_1,
var170,X79_Q195,
var171,X79_Q196_1,
var172,X80_Q195,
var173,X80_Q196_1,
var174,X81_Q195,
var175,X81_Q196_1,
var176,X82_Q195,
var177,X82_Q196_1,
var178,X83_Q195,
var179,X83_Q196_1,
var180,X84_Q195,
var181,X84_Q196_1,
var182,X85_Q195,
var183,X85_Q196_1,
var184,X86_Q195,
var185,X86_Q196_1,
var186,X87_Q195,
var187,X87_Q196_1,
var188,X88_Q195,
var189,X88_Q196_1,
var190,GENDER,
var191,AGE,
var192,COMMENTS,
var193,workerId,
var194,hitId,
var195,assignmentId,
var196,eligible,
